город	код_региона	регион	центр	население
Янаул	2	Башкортостан Республика	района	26988
Лабытнанги	89	Ямало-Ненецкий Автономный округ	-	26948
Калач-на-Дону	34	Волгоградская Область	района	26892
Камышлов	66	Свердловская Область	-	26875
Зерноград	61	Ростовская Область	района	26850
Уварово	68	Тамбовская Область	-	26829
Новоалександровск	26	Ставропольский Край	района	26759
Майский	7	Кабардино-Балкарская Республика	района	26755
Новопавловск	26	Ставропольский Край	района	26556
Советский	86	Ханты-Мансийский Автономный округ - Югра Автономный округ	района	26434
Балабаново	40	Калужская Область	-	26337
Родники	37	Ивановская Область	района	26318
Красноармейск	50	Московская Область	-	26294
Красноармейск	64	Саратовская Область	-	26294
Унеча	32	Брянская Область	района	26196
Кувандык	56	Оренбургская Область	-	26176
Железногорск-Илимский	38	Иркутская Область	района	26134
Ипатово	26	Ставропольский Край	района	26055
Семилуки	36	Воронежская Область	района	26025
Буй	44	Костромская Область	района	25763
Заводоуковск	72	Тюменская Область	района	25657
Аткарск	64	Саратовская Область	-	25620
Асино	70	Томская Область	района	25614
Киреевск	71	Тульская Область	района	25585
Богородск	52	Нижегородская Область	района	25497
Обь	54	Новосибирская Область	-	25383
Тайга	42	Кемеровская Область	-	25330
Павловск	36	Воронежская Область	района	25126
Павловск	78	Санкт-Петербург Город	-	25126
Зея	28	Амурская Область	-	25042
Котельнич	43	Кировская Область	района	24979
Красноуральск	66	Свердловская Область	-	24973
Ленск	14	Саха /Якутия/ Республика	района	24955
Северобайкальск	3	Бурятия Республика	-	24935
Гурьевск	39	Калининградская Область	района	24816
Гурьевск	42	Кемеровская Область	района	24816
Зарайск	50	Московская Область	района	24648
Невьянск	66	Свердловская Область	-	24555
Бежецк	69	Тверская Область	района	24517
Железноводск	26	Ставропольский Край	-	24496
Исилькуль	55	Омская Область	района	24481
Татарск	54	Новосибирская Область	-	24217
Колпашево	70	Томская Область	района	24126
Котово	34	Волгоградская Область	района	24104
Давлеканово	2	Башкортостан Республика	района	24040
Строитель	31	Белгородская Область	района	23933
Вельск	29	Архангельская Область	района	23885
Семикаракорск	61	Ростовская Область	района	23884
Отрадное	47	Ленинградская Область	-	23874
Армянск	91	Крым Республика	-	23869
Карачаевск	9	Карачаево-Черкесская Республика	-	23848
Фокино	25	Приморский Край	-	23683
Фокино	32	Брянская Область	-	23683
Шарья	44	Костромская Область	района	23668
Омутнинск	43	Кировская Область	района	23618
Усть-Катав	74	Челябинская Область	-	23586
Калачинск	55	Омская Область	района	23539
Бологое	69	Тверская Область	района	23499
Волоколамск	50	Московская Область	района	23386
Губкинский	89	Ямало-Ненецкий Автономный округ	-	23340
Таштагол	42	Кемеровская Область	района	23114
Оленегорск	51	Мурманская Область	-	23079
Оха	65	Сахалинская Область	района	23007
Кубинка	50	Московская Область	-	22918
Вилючинск	41	Камчатский Край	-	22905
Нелидово	69	Тверская Область	-	22886
Нерехта	44	Костромская Область	района	22817
Николаевск-на-Амуре	27	Хабаровский Край	-	22773
Нижний Ломов	58	Пензенская Область	района	22725
Лосино-Петровский	50	Московская Область	-	22550
Лермонтов	26	Ставропольский Край	-	22540
Вихоревка	38	Иркутская Область	-	22528
Никольск	35	Вологодская Область	района	22475
Никольск	58	Пензенская Область	района	22475
Зверево	61	Ростовская Область	-	22416
Няндома	29	Архангельская Область	района	22354
Дудинка	24	Красноярский Край	района	22207
Верещагино	59	Пермский Край	района	22161
Электрогорск	50	Московская Область	-	22120
Бавлы	16	Татарстан Республика	района	22109
Менделеевск	16	Татарстан Республика	района	22075
Нижняя Тура	66	Свердловская Область	-	21997
Тогучин	54	Новосибирская Область	района	21900
Калтан	42	Кемеровская Область	-	21893
Лысково	52	Нижегородская Область	района	21882
Старая Купавна	50	Московская Область	-	21859
Куровское	50	Московская Область	-	21821
Ряжск	62	Рязанская Область	района	21676
Остров	60	Псковская Область	района	21670
Хотьково	50	Московская Область	-	21612
Хадыженск	23	Краснодарский Край	-	21580
Льгов	46	Курская Область	района	21452
Ершов	64	Саратовская Область	района	21447
Сергач	52	Нижегородская Область	района	21387
Светлый	39	Калининградская Область	-	21380
Онега	29	Архангельская Область	района	21359
Ковылкино	13	Мордовия Республика	района	21307
Нарьян-Мар	83	Ненецкий Автономный округ	региона	21296
Алдан	14	Саха /Якутия/ Республика	района	21277
Рошаль	50	Московская Область	-	21265
Козьмодемьянск	12	Марий Эл Республика	-	21262
Оса	59	Пермский Край	района	21191
Бронницы	50	Московская Область	-	21102
Данков	48	Липецкая Область	района	21056
Лодейное Поле	47	Ленинградская Область	района	21053
Боготол	24	Красноярский Край	-	21029
Кировград	66	Свердловская Область	-	21006
Тырныауз	7	Кабардино-Балкарская Республика	района	21000
Лебедянь	48	Липецкая Область	района	20991
Черноголовка	50	Московская Область	-	20986
Бакал	74	Челябинская Область	-	20953
Алагир	15	Северная Осетия - Алания Республика	района	20949
Шахунья	52	Нижегородская Область	-	20926
Суровикино	34	Волгоградская Область	района	20527
Райчихинск	28	Амурская Область	-	20499
Сысерть	66	Свердловская Область	района	20485
Среднеуральск	66	Свердловская Область	-	20445
Котельниково	34	Волгоградская Область	района	20441
Тарко-Сале	89	Ямало-Ненецкий Автономный округ	района	20372
Буинск	16	Татарстан Республика	района	20342
Белоярский	86	Ханты-Мансийский Автономный округ - Югра Автономный округ	-	20283
Пролетарск	61	Ростовская Область	района	20267
Коммунар	47	Ленинградская Область	-	20265
Пущино	50	Московская Область	-	20263
Абдулино	56	Оренбургская Область	района	20183
Электроугли	50	Московская Область	-	20120
Калач	36	Воронежская Область	района	20046
Кяхта	3	Бурятия Республика	района	20041
Шимановск	28	Амурская Область	-	19815
Черепаново	54	Новосибирская Область	района	19803
Бобров	36	Воронежская Область	района	19738
Карачев	32	Брянская Область	района	19715
Кизел	59	Пермский Край	-	19590
Юрьев-Польский	33	Владимирская Область	района	19588
Новый Оскол	31	Белгородская Область	района	19530
Собинка	33	Владимирская Область	района	19482
Никольское	47	Ленинградская Область	-	19345
Новомичуринск	62	Рязанская Область	-	19309
Агрыз	16	Татарстан Республика	района	19299
Нефтегорск	63	Самарская Область	района	19256
Сортавала	10	Карелия Республика	-	19215
Терек	7	Кабардино-Балкарская Республика	района	19170
Нытва	59	Пермский Край	района	19042
Стародуб	32	Брянская Область	района	19010
Суворов	71	Тульская Область	района	18975
Приозерск	47	Ленинградская Область	района	18929
Ковдор	51	Мурманская Область	района	18836
Куса	74	Челябинская Область	района	18792
Ардон	15	Северная Осетия - Алания Республика	района	18774
Енисейск	24	Красноярский Край	-	18769
Усмань	48	Липецкая Область	района	18752
Подпорожье	47	Ленинградская Область	района	18729
Яровое	22	Алтайский Край	-	18605
Петровск-Забайкальский	75	Забайкальский Край	района	18555
Инза	73	Ульяновская Область	района	18547
Слюдянка	38	Иркутская Область	района	18542
Апрелевка	50	Московская Область	-	18467
Рыбное	62	Рязанская Область	района	18378
Жуковка	32	Брянская Область	района	18269
Харабали	30	Астраханская Область	района	18209
Козельск	40	Калужская Область	района	18203
Арск	16	Татарстан Республика	района	18114
Осташков	69	Тверская Область	района	18073
Чегем	7	Кабардино-Балкарская Республика	района	17988
Почеп	32	Брянская Область	района	17933
Сельцо	32	Брянская Область	-	17933
Константиновск	61	Ростовская Область	района	17926
Туринск	66	Свердловская Область	района	17923
Новоаннинский	34	Волгоградская Область	района	17911
Шумиха	45	Курганская Область	района	17821
Гаврилов-Ям	76	Ярославская Область	района	17792
Ивдель	66	Свердловская Область	-	17764
Покров	33	Владимирская Область	-	17762
Баймак	2	Башкортостан Республика	района	17710
Поворино	36	Воронежская Область	района	17692
Катав-Ивановск	74	Челябинская Область	района	17640
Нижняя Салда	66	Свердловская Область	-	17610
Мантурово	44	Костромская Область	района	17479
Голицыно	50	Московская Область	-	17447
Бородино	24	Красноярский Край	-	17423
Ясный	56	Оренбургская Область	района	17365
Московский	77	Москва Город	района	17363
Московский	77	Москва Город	района	17363
Межгорье	2	Башкортостан Республика	-	17353
Галич	44	Костромская Область	района	17346
Пласт	74	Челябинская Область	района	17344
Полярный	51	Мурманская Область	-	17304
Яранск	43	Кировская Область	района	17252
Кирсанов	68	Тамбовская Область	-	17240
Бикин	27	Хабаровский Край	-	17156
Барыш	73	Ульяновская Область	-	17149
Абаза	19	Хакасия Республика	-	17111
Волгореченск	44	Костромская Область	-	17108
Куртамыш	45	Курганская Область	района	17098
Покачи	86	Ханты-Мансийский Автономный округ - Югра Автономный округ	-	17053
Щигры	46	Курская Область	района	17043
Новоузенск	64	Саратовская Область	района	17015
Касли	74	Челябинская Область	района	16998
Жирновск	34	Волгоградская Область	района	16890
Ясногорск	71	Тульская Область	района	16804
Приволжск	37	Ивановская Область	района	16749
Кондрово	40	Калужская Область	района	16672
Бокситогорск	47	Ленинградская Область	района	16593
Болотное	54	Новосибирская Область	района	16570
Мензелинск	16	Татарстан Республика	района	16474
Калининск	64	Саратовская Область	района	16442
Навашино	52	Нижегородская Область	района	16413
Звенигород	50	Московская Область	-	16395
Агидель	2	Башкортостан Республика	-	16365
Невель	60	Псковская Область	района	16324
Сухиничи	40	Калужская Область	района	16295
Камызяк	30	Астраханская Область	района	16291
Плавск	71	Тульская Область	района	16248
Талица	66	Свердловская Область	района	16220
Кашин	69	Тверская Область	района	16174
Иланский	24	Красноярский Край	района	16108
Валдай	53	Новгородская Область	района	16099
Поронайск	65	Сахалинская Область	района	16099
Красновишерск	59	Пермский Край	района	16098
Ужур	24	Красноярский Край	района	16079
Новоульяновск	73	Ульяновская Область	-	16032
Краснослободск	13	Мордовия Республика	района	16007
Краснослободск	34	Волгоградская Область	-	16007
Палласовка	34	Волгоградская Область	района	15984
Светогорск	47	Ленинградская Область	-	15973
Пестово	53	Новгородская Область	района	15911
Данилов	76	Ярославская Область	района	15861
Заполярный	51	Мурманская Область	-	15835
Лакинск	33	Владимирская Область	-	15707
Рыльск	46	Курская Область	района	15667
Медвежьегорск	10	Карелия Республика	района	15536
Грязовец	35	Вологодская Область	района	15528
Ленинск	34	Волгоградская Область	района	15527
Дегтярск	66	Свердловская Область	-	15521
Чудово	53	Новгородская Область	района	15401
Бодайбо	38	Иркутская Область	-	15331
Жердевка	68	Тамбовская Область	района	15211
Меленки	33	Владимирская Область	района	15208
Петушки	33	Владимирская Область	района	15167
Полярные Зори	51	Мурманская Область	-	15106
Николаевск	34	Волгоградская Область	района	15081
Цимлянск	61	Ростовская Область	района	15029
Трубчевск	32	Брянская Область	района	15014
Нерчинск	75	Забайкальский Край	района	14976
Лукоянов	52	Нижегородская Область	района	14949
Купино	54	Новосибирская Область	района	14893
Карабаново	33	Владимирская Область	-	14868
Кодинск	24	Красноярский Край	района	14835
Белокуриха	22	Алтайский Край	-	14660
Емва	11	Коми Республика	района	14574
Первомайск	52	Нижегородская Область	-	14567
Вяземский	27	Хабаровский Край	района	14556
Александровск	59	Пермский Край	-	14502
Судак	91	Крым Республика	-	14495
Сим	74	Челябинская Область	-	14465
Мамадыш	16	Татарстан Республика	района	14432
Красный Кут	64	Саратовская Область	района	14420
Струнино	33	Владимирская Область	-	14372
Дубовка	34	Волгоградская Область	района	14345
Лагань	8	Калмыкия Республика	района	14323
Арамиль	66	Свердловская Область	-	14227
Южа	37	Ивановская Область	района	14170
Пересвет	50	Московская Область	-	14142
Катайск	45	Курганская Область	района	14017
Гороховец	33	Владимирская Область	района	14015
Шилка	75	Забайкальский Край	района	13947
Горняк	22	Алтайский Край	района	13924
Далматово	45	Курганская Область	района	13913
Гвардейск	39	Калининградская Область	района	13888
Калязин	69	Тверская Область	района	13870
Талдом	50	Московская Область	района	13819
Сясьстрой	47	Ленинградская Область	-	13747
Свирск	38	Иркутская Область	-	13649
Байкальск	38	Иркутская Область	-	13589
Обоянь	46	Курская Область	района	13562
Руза	50	Московская Область	района	13495
Цивильск	21	Чувашская Республика - Чувашия	района	13478
Ак-Довурак	17	Тыва Республика	-	13469
Краснозаводск	50	Московская Область	-	13432
Шлиссельбург	47	Ленинградская Область	-	13305
Петров Вал	34	Волгоградская Область	-	13264
Яхрома	50	Московская Область	-	13248
Могоча	75	Забайкальский Край	района	13228
Карабаш	74	Челябинская Область	-	13151
Камешково	33	Владимирская Область	района	13113
Хвалынск	64	Саратовская Область	-	13094
Кемь	10	Карелия Республика	-	13061
Анадырь	87	Чукотский Автономный округ	региона	13053
Торопец	69	Тверская Область	района	13018
Зеленоградск	39	Калининградская Область	района	13015
Аркадак	64	Саратовская Область	района	12846
Новая Ляля	66	Свердловская Область	района	12731
Снежногорск	51	Мурманская Область	-	12698
Уяр	24	Красноярский Край	района	12666
Кораблино	62	Рязанская Область	района	12657
Чаплыгин	48	Липецкая Область	района	12656
Киренск	38	Иркутская Область	района	12652
Удачный	14	Саха /Якутия/ Республика	-	12611
Юрюзань	74	Челябинская Область	-	12568
Балей	75	Забайкальский Край	района	12536
Окуловка	53	Новгородская Область	района	12464
Малая Вишера	53	Новгородская Область	района	12461
Нязепетровск	74	Челябинская Область	района	12452
Сосенский	40	Калужская Область	-	12394
Чкаловск	52	Нижегородская Область	района	12371
Вуктыл	11	Коми Республика	-	12357
Урень	52	Нижегородская Область	района	12306
Боровск	40	Калужская Область	района	12283
Лихославль	69	Тверская Область	района	12259
Адыгейск	1	Адыгея Республика	-	12248
Долинск	65	Сахалинская Область	района	12200
Волосово	47	Ленинградская Область	района	12162
Жуков	40	Калужская Область	района	12150
Сорск	19	Хакасия Республика	-	12140
Бабаево	35	Вологодская Область	района	12074
Горнозаводск	59	Пермский Край	района	12056
Заволжск	37	Ивановская Область	района	12045
Сосновка	43	Кировская Область	-	11960
Звенигово	12	Марий Эл Республика	района	11945
Судогда	33	Владимирская Область	района	11848
Верхний Тагил	66	Свердловская Область	-	11839
Дрезна	50	Московская Область	-	11815
Богучар	36	Воронежская Область	района	11811
Неман	39	Калининградская Область	района	11794
Михайлов	62	Рязанская Область	района	11783
Невельск	65	Сахалинская Область	района	11667
Сураж	32	Брянская Область	района	11640
Ворсма	52	Нижегородская Область	-	11622
Называевск	55	Омская Область	района	11614
Опочка	60	Псковская Область	района	11601
Тетюши	16	Татарстан Республика	района	11596
Чулым	54	Новосибирская Область	района	11568
Закаменск	3	Бурятия Республика	района	11530
Хилок	75	Забайкальский Край	района	11530
Питкяранта	10	Карелия Республика	района	11484
Завитинск	28	Амурская Область	района	11481
Болхов	57	Орловская Область	района	11421
Эртиль	36	Воронежская Область	района	11387
Нариманов	30	Астраханская Область	района	11386
Петухово	45	Курганская Область	района	11291
Тюкалинск	55	Омская Область	района	11276
Луза	43	Кировская Область	района	11262
Белая Холуница	43	Кировская Область	района	11232
Беломорск	10	Карелия Республика	района	11217
Зуевка	43	Кировская Область	района	11198
Печоры	60	Псковская Область	района	11195
Гаджиево	51	Мурманская Область	-	11089
Камбарка	18	Удмуртская Республика	района	11028
Пионерский	39	Калининградская Область	-	11017
Щучье	45	Курганская Область	района	10971
Шагонар	17	Тыва Республика	района	10958
Змеиногорск	22	Алтайский Край	района	10955
Дигора	15	Северная Осетия - Алания Республика	района	10856
Светлогорск	39	Калининградская Область	района	10775
Гремячинск	59	Пермский Край	-	10750
Микунь	11	Коми Республика	-	10732
Дорогобуж	67	Смоленская Область	района	10720
Высоковск	50	Московская Область	-	10642
Инкерман	92	Севастополь Город	-	10628
Александровск-Сахалинский	65	Сахалинская Область	района	10613
Порхов	60	Псковская Область	района	10608
Суздаль	33	Владимирская Область	района	10535
Вытегра	35	Вологодская Область	района	10490
Кола	51	Мурманская Область	района	10447
Ожерелье	50	Московская Область	-	10444
Кирс	43	Кировская Область	района	10420
Ермолино	40	Калужская Область	-	10409
Углегорск	65	Сахалинская Область	района	10382
Козловка	21	Чувашская Республика - Чувашия	района	10355
Нижние Серги	66	Свердловская Область	района	10347
Вилюйск	14	Саха /Якутия/ Республика	района	10233
Уржум	43	Кировская Область	района	10213
Наволоки	37	Ивановская Область	-	10207
Юрьевец	37	Ивановская Область	района	10205
Миньяр	74	Челябинская Область	-	10195
Нюрба	14	Саха /Якутия/ Республика	района	10156
Каргополь	29	Архангельская Область	района	10148
Старый крым	91	Крым Республика	-	10101
Ельня	67	Смоленская Область	района	10095
Сольцы	53	Новгородская Область	района	10086
Харовск	35	Вологодская Область	района	10078
Южно-Сухокумск	5	Дагестан Республика	-	10048
Каргат	54	Новосибирская Область	района	10042
Рудня	67	Смоленская Область	района	10029
Волчанск	66	Свердловская Область	-	10008
Кувшиново	69	Тверская Область	района	10008
Володарск	52	Нижегородская Область	района	9924
Нея	44	Костромская Область	района	9827
Ивангород	47	Ленинградская Область	-	9797
Тотьма	35	Вологодская Область	района	9784
Суоярви	10	Карелия Республика	района	9763
Пудож	10	Карелия Республика	района	9698
Задонск	48	Липецкая Область	района	9695
Таруса	40	Калужская Область	-	9656
Болохово	71	Тульская Область	-	9619
Белозерск	35	Вологодская Область	района	9614
Ядрин	21	Чувашская Республика - Чувашия	района	9614
Городовиковск	8	Калмыкия Республика	района	9565
Сковородино	28	Амурская Область	района	9561
Нолинск	43	Кировская Область	района	9556
Покровск	14	Саха /Якутия/ Республика	района	9495
Устюжна	35	Вологодская Область	района	9478
Верхняя Тура	66	Свердловская Область	-	9468
Верхнеуральск	74	Челябинская Область	района	9459
Ардатов	13	Мордовия Республика	района	9400
Облучье	79	Еврейская Автономная область	района	9379
Западная Двина	69	Тверская Область	района	9376
Серафимович	34	Волгоградская Область	района	9368
Перевоз	52	Нижегородская Область	района	9201
Анива	65	Сахалинская Область	района	9113
Теберда	9	Карачаево-Черкесская Республика	-	9097
Мариинский Посад	21	Чувашская Республика - Чувашия	района	9089
Дно	60	Псковская Область	района	9061
Олонец	10	Карелия Республика	района	9060
Чадан	17	Тыва Республика	района	9037
Алупка	91	Крым Республика	-	9018
Бирюсинск	38	Иркутская Область	-	8981
Ветлуга	52	Нижегородская Область	района	8956
Новая Ладога	47	Ленинградская Область	-	8839
Верхотурье	66	Свердловская Область	района	8815
Починок	67	Смоленская Область	района	8776
Липки	71	Тульская Область	-	8741
Комсомольск	37	Ивановская Область	района	8693
Инсар	13	Мордовия Республика	района	8687
Болгар	16	Татарстан Республика	района	8650
Старица	69	Тверская Область	района	8610
Пучеж	37	Ивановская Область	района	8583
Белинский	58	Пензенская Область	района	8567
Белоусово	40	Калужская Область	-	8432
Макушино	45	Курганская Область	района	8337
Медынь	40	Калужская Область	района	8298
Андреаполь	69	Тверская Область	района	8265
Малмыж	43	Кировская Область	района	8265
Салаир	42	Кемеровская Область	-	8263
Новосокольники	60	Псковская Область	района	8119
Городище	58	Пензенская Область	района	8102
Томмот	14	Саха /Якутия/ Республика	-	8054
Мглин	32	Брянская Область	района	7916
Бирюч	31	Белгородская Область	района	7842
Лахденпохья	10	Карелия Республика	района	7818
Мамоново	39	Калининградская Область	-	7757
Спасск-Рязанский	62	Рязанская Область	района	7745
Кириллов	35	Вологодская Область	района	7735
Лаишево	16	Татарстан Республика	района	7735
Дмитриев	46	Курская Область	-	7721
Велиж	67	Смоленская Область	района	7620
Полесск	39	Калининградская Область	района	7580
Спасск	58	Пензенская Область	района	7442
Демидов	67	Смоленская Область	района	7333
Весьегонск	69	Тверская Область	района	7330
Севск	32	Брянская Область	района	7282
Оханск	59	Пермский Край	района	7249
Темников	13	Мордовия Республика	района	7247
Макарьев	44	Костромская Область	района	7114
Юхнов	40	Калужская Область	района	7056
Сурск	58	Пензенская Область	-	7032
Красавино	35	Вологодская Область	-	7003
Орлов	43	Кировская Область	района	6959
Сенгилей	73	Ульяновская Область	района	6959
Зубцов	69	Тверская Область	района	6937
Сретенск	75	Забайкальский Край	района	6850
Курлово	33	Владимирская Область	-	6791
Каменногорск	47	Ленинградская Область	-	6761
Мураши	43	Кировская Область	района	6752
Алзамай	38	Иркутская Область	-	6751
Княгинино	52	Нижегородская Область	района	6708
Макаров	65	Сахалинская Область	района	6705
Шацк	62	Рязанская Область	района	6562
Солигалич	44	Костромская Область	района	6438
Гаврилов Посад	37	Ивановская Область	района	6434
Багратионовск	39	Калининградская Область	района	6399
Себеж	60	Псковская Область	района	6375
Грайворон	31	Белгородская Область	района	6234
Игарка	24	Красноярский Край	-	6183
Приморск	39	Калининградская Область	-	6122
Приморск	47	Ленинградская Область	-	6122
Пошехонье	76	Ярославская Область	района	6085
Шиханы	64	Саратовская Область	-	6067
Суджа	46	Курская Область	района	6036
Мышкин	76	Ярославская Область	района	5932
Спас-Клепики	62	Рязанская Область	района	5917
Короча	31	Белгородская Область	района	5877
Сусуман	49	Магаданская Область	района	5865
Пыталово	60	Псковская Область	района	5826
Шенкурск	29	Архангельская Область	района	5702
Усолье	59	Пермский Край	района	5694
Дмитровск	57	Орловская Область	района	5651
Красный Холм	69	Тверская Область	района	5608
Жиздра	40	Калужская Область	района	5585
Любим	76	Ярославская Область	района	5553
Злынка	32	Брянская Область	района	5507
Билибино	87	Чукотский Автономный округ	района	5504
Фатеж	46	Курская Область	района	5404
Верея	50	Московская Область	-	5368
Чухлома	44	Костромская Область	района	5209
Туран	17	Тыва Республика	района	4988
Чердынь	59	Пермский Край	района	4920
Спас-Деменск	40	Калужская Область	района	4904
Бабушкин	3	Бурятия Республика	-	4839
Кадников	35	Вологодская Область	-	4797
Пустошка	60	Псковская Область	района	4619
Славск	39	Калининградская Область	района	4614
Нестеров	39	Калининградская Область	района	4584
Томари	65	Сахалинская Область	района	4537
Гдов	60	Псковская Область	района	4379
Духовщина	67	Смоленская Область	района	4370
Правдинск	39	Калининградская Область	района	4323
Мосальск	40	Калужская Область	района	4285
Любань	47	Ленинградская Область	-	4188
Певек	87	Чукотский Автономный округ	района	4161
Мещовск	40	Калужская Область	района	4101
Холм	53	Новгородская Область	района	3830
Ладушкин	39	Калининградская Область	-	3788
Белый	69	Тверская Область	района	3771
Новоржев	60	Псковская Область	района	3695
Новосиль	57	Орловская Область	района	3661
Малоархангельск	57	Орловская Область	района	3614
Мезень	29	Архангельская Область	района	3599
Среднеколымск	14	Саха /Якутия/ Республика	района	3525
Кологрив	44	Костромская Область	района	3314
Северо-Курильск	65	Сахалинская Область	района	2535
Магас	6	Ингушетия Республика	региона	2505
Сольвычегодск	29	Архангельская Область	-	2460
Кедровый	70	Томская Область	-	2451
Горбатов	52	Нижегородская Область	-	2278
Островной	51	Мурманская Область	-	2177
Курильск	65	Сахалинская Область	района	2070
Верхоянск	14	Саха /Якутия/ Республика	-	1311
Высоцк	47	Ленинградская Область	-	1244
Чекалин	71	Тульская Область	-	994
