city,dreams,region,center,pop
Мончегорск,46,Мурманская Область,-,45381
Морозовск,3,Ростовская Область,района,27644
Моршанск,6,Тамбовская Область,-,41550
Москва,11871,Москва Город,-,12380664
Московский,8,Москва Город,района,17363
Мосрентген,2,-,-,-
Мостовской,4,-,-,-
Мошково,1,-,-,-
Муравленко,7,Ямало-Ненецкий Автономный округ,-,33401
Мурманск,372,Мурманская Область,региона,307664
Муром,94,Владимирская Область,-,116078
Мучкапский,2,-,-,-
Мценск,18,Орловская Область,-,43216
Мыски,15,Кемеровская Область,-,43029
Мытищи,153,Московская Область,района,173341
Набережные Челны,240,Татарстан Республика,-,513242
Навашино,2,Нижегородская Область,района,16413
Навля,2,-,-,-
Надым,22,Ямало-Ненецкий Автономный округ,-,46550
Назарово,12,Красноярский Край,-,52829
Назрань,1,Ингушетия Республика,-,93357
Нальчик,161,Кабардино-Балкарская Республика,региона,240095
Нариманов,1,Астраханская Область,района,11386
Наро-Фоминск,88,Московская Область,района,64640
Нарьян-Мар,22,Ненецкий Автономный округ,региона,21296
Нахабино,5,-,-,-
Находка,50,Приморский Край,-,159695
Невель,3,Псковская Область,района,16324
Невельск,1,Сахалинская Область,района,11667
Неверкино,2,-,-,-
Невинномысск,85,Ставропольский Край,-,118351
Невьянск,13,Свердловская Область,-,24555
Нелидово,3,Тверская Область,-,22886
Неман,1,Калининградская Область,района,11794
Непецино,1,-,-,-
Нерехта,5,Костромская Область,района,22817
Нерюнгри,35,Саха /Якутия/ Республика,-,61746
Нестеров,1,Калининградская Область,района,4584
Нефтегорск,3,Самарская Область,района,19256
Нефтекамск,93,Башкортостан Республика,-,121757
Нефтекумск,4,Ставропольский Край,района,27700
Нефтеюганск,56,Ханты-Мансийский Автономный округ - Югра Автономный округ,-,123276
Нея,1,Костромская Область,района,9827
Нижневартовск,196,Ханты-Мансийский Автономный округ - Югра Автономный округ,-,251860
Нижнегорский,4,-,-,-
Нижнекамск,31,Татарстан Республика,района,234108
Нижнеудинск,15,Иркутская Область,-,37056
Нижние Серги,5,Свердловская Область,района,10347
Нижний Бестях,2,-,-,-
Нижний Ломов,3,Пензенская Область,района,22725
Нижний Новгород,3470,Нижегородская Область,региона,1250615
Нижний Тагил,288,Свердловская Область,-,361883
Нижний Цасучей,2,-,-,-
Нижняя Салда,2,Свердловская Область,-,17610
Нижняя Тура,17,Свердловская Область,-,21997
Никель,2,-,-,-
Николаевск-на-Амуре,1,Хабаровский Край,-,22773
Никольск,3,Пензенская Область,района,22475
Никольское,2,Ленинградская Область,-,19345
Новая Игирма,3,-,-,-
Новая Ляля,3,Свердловская Область,района,12731
Новая Усмань,1,-,-,-
Новая Чара,1,-,-,-
Новоалександровск,9,Ставропольский Край,района,26759
Новоалтайск,9,Алтайский Край,-,70438
Новоаннинский,4,Волгоградская Область,района,17911
Нововаршавка,2,-,-,-
Нововоронеж,6,Воронежская Область,-,32635
Новодвинск,13,Архангельская Область,-,40612
Новоенисейск,1,-,-,-
Новозыбков,20,Брянская Область,-,40552
Новоивановское,2,-,-,-
Новокубанск,3,Краснодарский Край,района,34847
Новокузнецк,461,Кемеровская Область,-,547885
Новокуйбышевск,11,Самарская Область,-,108449
Новомичуринск,4,Рязанская Область,-,19309
Новомосковск,98,Тульская Область,района,131227
Новониколаевский,1,-,-,-
Новоорск,3,-,-,-
Новопавловск,3,Ставропольский Край,района,26556
Новоржев,1,Псковская Область,района,3695
Новороссийск,137,Краснодарский Край,-,241788
Новоселицкое,2,-,-,-
Новосибирск,3619,Новосибирская Область,региона,1473737
Новоспасское,1,-,-,-
Новотроицк,37,Оренбургская Область,-,98184
Новоузенск,1,Саратовская Область,района,17015
Новоуральск,31,Свердловская Область,-,85519
Новохоперск,3,Воронежская Область,района,-
Новочебоксарск,23,Чувашская Республика - Чувашия,-,124113
Новочеркасск,89,Ростовская Область,-,169039
Новошахтинск,15,Ростовская Область,-,111087
Новошешминск,1,-,-,-
Новый Васюган,1,-,-,-
Новый Оскол,18,Белгородская Область,района,19530
Новый Торъял,1,-,-,-
Новый Уренгой,52,Ямало-Ненецкий Автономный округ,-,104144
Ногинск,90,Московская Область,района,99762
Ноглики,1,-,-,-
Норильск,34,Красноярский Край,-,175301
Ноябрьск,51,Ямало-Ненецкий Автономный округ,-,110572
Нурлат,3,Татарстан Республика,района,32600
Нытва,3,Пермский Край,района,19042
Нюксеница,1,-,-,-
Нягань,30,Ханты-Мансийский Автономный округ - Югра Автономный округ,-,54903
Нязепетровск,1,Челябинская Область,района,12452
Няндома,10,Архангельская Область,района,22354
Обливская,1,-,-,-
Облучье,3,Еврейская Автономная область,района,9379
Обнинск,78,Калужская Область,-,104798
Обозерский,3,-,-,-
Обоянь,6,Курская Область,района,13562
Обь,1,Новосибирская Область,-,25383
Одинцово,153,Московская Область,района,139021
Ожерелье,1,Московская Область,-,10444
Озерный,10,-,-,-
Озерск,37,Челябинская Область,-,-
Озёры,9,-,-,-
Октябрьск,1,Самарская Область,-,27244
Октябрьский,26,Башкортостан Республика,-,109379
Октябрьское,2,-,-,-
Окуловка,4,Новгородская Область,района,12464
Оленегорск,11,Мурманская Область,-,23079
Оленино,1,-,-,-
Олымский,1,-,-,-
Омск,1347,Омская Область,региона,1153971
Омутинское,2,-,-,-
Омутнинск,5,Кировская Область,района,23618
Онега,1,Архангельская Область,района,21359
Опочка,4,Псковская Область,района,11601
Орел,687,Орловская Область,региона,-
Оренбург,840,Оренбургская Область,региона,546987
Орехово-Зуево,135,Московская Область,-,120620
Орлов,2,Кировская Область,района,6959
Орск,142,Оренбургская Область,-,239752
Оса,1,Пермский Край,района,21191
Осинники,22,Кемеровская Область,-,45997
Осташков,3,Тверская Область,района,18073
Остров,2,Псковская Область,района,21670
Острогожск,11,Воронежская Область,района,33842
Отрадная,3,-,-,-
Отрадный,17,Самарская Область,-,48359
Оха,2,Сахалинская Область,района,23007
Очер,4,Пермский Край,района,-
Павлово,28,Нижегородская Область,района,60699
Павловск,4,Санкт-Петербург Город,-,25126
Павловская,2,-,-,-
Павловский Посад,23,Московская Область,района,63771
Пангоды,1,-,-,-
Панино,1,-,-,-
Панкрушиха,1,-,-,-
Парабель,1,-,-,-
Партизанск,6,Приморский Край,-,38648
Партизанское,2,-,-,-
Парфино,1,-,-,-
Пачелма,1,-,-,-
Пенза,815,Пензенская Область,-,517137
Первомайск,2,Нижегородская Область,-,14567
Первомайский,1,-,-,-
Первомайское,1,-,-,-
Первоуральск,81,Свердловская Область,-,124555
Перегребное,1,-,-,-
Передовая,1,-,-,-
Перемышль,1,-,-,-
Пересвет,1,Московская Область,-,14142
Переславль-Залесский,33,Ярославская Область,-,41923
Пермь,1373,Пермский Край,региона,991530
Пестово,1,Новгородская Область,района,15911
Петергоф,3,Санкт-Петербург Город,-,73154
Петров Вал,1,Волгоградская Область,-,13264
Петровск,2,Саратовская Область,-,31158
Петровск-Забайкальский,6,Забайкальский Край,района,18555
Петровское,1,-,-,-
Петрозаводск,409,Карелия Республика,региона,263540
Петропавловск-Камчатский,49,Камчатский Край,региона,179526
Петухово,2,Курганская Область,района,11291
Петушки,8,Владимирская Область,района,15167
Печенга,1,-,-,-
Печора,26,Коми Республика,-,43458
Пижанка,1,-,-,-
Пикалево,15,Ленинградская Область,-,-
Пильна,1,-,-,-
Пионерский,2,Калининградская Область,-,11017
Пирогово,2,-,-,-
Питкяранта,6,Карелия Республика,района,11484
Плавск,2,Тульская Область,района,16248
Пласт,4,Челябинская Область,района,17344
Поварово,1,-,-,-
Поворино,5,Воронежская Область,района,17692
Погар,2,-,-,-
Пограничный,1,-,-,-
Подгоренский,1,-,-,-
Подольск,392,Московская Область,-,187956
Подпорожье,12,Ленинградская Область,района,18729
Пойковский,4,-,-,-
Покачи,11,Ханты-Мансийский Автономный округ - Югра Автономный округ,-,17053
Покров,3,Владимирская Область,-,17762
Покровское,2,-,-,-
Полазна,2,-,-,-
Полевской,13,Свердловская Область,-,64191
Полтавская,3,-,-,-
Полысаево,6,Кемеровская Область,-,27624
Полярные Зори,2,Мурманская Область,-,15106
Полярный,1,Мурманская Область,-,17304
Пономаревка,1,-,-,-
Порецкое,1,-,-,-
Поронайск,7,Сахалинская Область,района,16099
Поспелиха,1,-,-,-
Похвистнево,2,Самарская Область,-,28181
Почеп,3,Брянская Область,района,17933
Починки,3,-,-,-
Починок,3,Смоленская Область,района,8776
Правдинск,1,Калининградская Область,района,4323
Правдинский,1,-,-,-
Преградная,1,-,-,-
Пржевальское,1,-,-,-
Приволжск,10,Ивановская Область,района,16749
Приволжье,1,-,-,-
Приладожский,1,-,-,-
Приморско-Ахтарск,7,Краснодарский Край,района,32253
Приобье,1,-,-,-
Приозерск,9,Ленинградская Область,района,18929
Приютово,1,-,-,-
Прокопьевск,132,Кемеровская Область,-,210150
Пролетарск,3,Ростовская Область,района,20267
Пролетарский,1,-,-,-
Протвино,11,Московская Область,-,37308
Прохладный,14,Кабардино-Балкарская Республика,-,59595
Псков,238,Псковская Область,региона,203281
Пугачев,2,Саратовская Область,района,-
Пудож,2,Карелия Республика,района,9698
Пустошка,1,Псковская Область,района,4619
Пучеж,1,Ивановская Область,района,8583
Пушкин,15,Санкт-Петербург Город,-,92721
Пушкино,105,Московская Область,района,102840
Пущино,6,Московская Область,-,20263
Пыталово,2,Псковская Область,района,5826
Пыть-Ях,13,Ханты-Мансийский Автономный округ - Югра Автономный округ,-,41453
Пышма,1,-,-,-
Пятигорск,183,Ставропольский Край,-,142397
Радужный,55,Ханты-Мансийский Автономный округ - Югра Автономный округ,-,43394
Раевский,6,-,-,-
Раздольное,1,-,-,-
Райчихинск,1,Амурская Область,-,20499
Ракитное,1,-,-,-
Раменское,78,Московская Область,района,96355
Рассвет,2,-,-,-
Рассказово,6,Тамбовская Область,-,45484
Ревда,18,Свердловская Область,-,61890
Реж,16,Свердловская Область,района,38213
Реммаш,1,-,-,-
Ремонтное,1,-,-,-
Реутов,60,Московская Область,-,87195
Ржев,24,Тверская Область,-,62026
Рославль,24,Смоленская Область,района,54898
Россия,10,-,-,-
Россошь,68,Воронежская Область,района,62865
Ростов,18,Ярославская Область,района,-
Ростов-на-Дону,4713,Ростовская Область,региона,1089851
Рошаль,7,Московская Область,-,21265
Рощино,1,-,-,-
Ртищево,12,Саратовская Область,-,41295
Рубцовск,91,Алтайский Край,-,147008
Рудня,3,Смоленская Область,района,10029
Руза,30,Московская Область,района,13495
Рузаевка,23,Мордовия Республика,района,47529
Русский Камешкир,1,-,-,-
Рыбинск,78,Ярославская Область,района,200771
Рыльск,11,Курская Область,района,15667
Ряжск,7,Рязанская Область,района,21676
Рязань,675,Рязанская Область,региона,525062
Садовое,3,-,-,-
Саки,15,Крым Республика,-,29416
Салават,61,Башкортостан Республика,-,156085
Салехард,94,Ямало-Ненецкий Автономный округ,региона,42494
Сальск,20,Ростовская Область,района,61312
Самара,1565,Самарская Область,региона,1164896
Самойловка,3,-,-,-
Санкт-Петербург,4834,Санкт-Петербург Город,-,5281579
Саранск,525,Мордовия Республика,региона,297425
Сарапул,13,Удмуртская Республика,-,101390
Саратов,1670,Саратовская Область,региона,837831
Саров,17,Нижегородская Область,-,92073
Сасово,14,Рязанская Область,-,28117
Сатка,57,Челябинская Область,района,45465
Сафоново,4,Смоленская Область,района,46116
Саяногорск,18,Хакасия Республика,-,49889
Саянск,9,Иркутская Область,-,40786
Светлогорск,2,Калининградская Область,района,10775
Светлоград,8,Ставропольский Край,района,38520
Светлый,1,Калининградская Область,-,21380
Светогорск,13,Ленинградская Область,-,15973
Свирск,4,Иркутская Область,-,13649
Свободный,21,Амурская Область,-,58594
Себеж,2,Псковская Область,района,6375
Севастополь,257,Севастополь Город,-,342451
Северобайкальск,24,Бурятия Республика,-,24935
Северодвинск,77,Архангельская Область,-,192265
Североморск,2,Мурманская Область,-,50076
Северомуйск,2,-,-,-
Североуральск,44,Свердловская Область,-,29279
Северск,17,Томская Область,-,108466
Северская,1,-,-,-
Севск,1,Брянская Область,района,7282
Сегежа,21,Карелия Республика,района,29660
Селенгинск,7,-,-,-
Селижарово,1,-,-,-
Сельцо,1,Брянская Область,-,17933
Селятино,1,-,-,-
Семенов,4,Нижегородская Область,-,-
Семикаракорск,8,Ростовская Область,района,23884
Семилуки,2,Воронежская Область,района,26025
Серафимович,2,Волгоградская Область,района,9368
Сербово,1,-,-,-
Сергач,3,Нижегородская Область,района,21387
Сергиев Посад,123,Московская Область,района,110878
Сергиевск,2,-,-,-
Сердобск,11,Пензенская Область,района,35387
Серебряные Пруды,4,-,-,-
Середниково,2,-,-,-
Серов,40,Свердловская Область,-,99381
Серпухов,106,Московская Область,-,126496
Сертолово,2,Ленинградская Область,-,47854
Серышево,2,-,-,-
Сестрорецк,3,Санкт-Петербург Город,-,36680
Сеченово,1,-,-,-
Сибай,20,Башкортостан Республика,-,62732
Сибирский,1,-,-,-
Сибирцево,5,-,-,-
Сиверский,1,-,-,-
Сигаево,1,-,-,-
Сим,4,Челябинская Область,-,14465
Симферополь,650,Крым Республика,-,343644
Сковородино,7,Амурская Область,района,9561
Скопин,2,Рязанская Область,района,30374
Славгород,3,Алтайский Край,-,32390
Славянск-на-Кубани,38,Краснодарский Край,района,63768
Сланцы,23,Ленинградская Область,района,33587
Слободской,5,Кировская Область,района,33983
Слюдянка,7,Иркутская Область,района,18542
Смоленск,494,Смоленская Область,региона,326863
Снежинск,21,Челябинская Область,-,48896
Снежногорск,2,Мурманская Область,-,12698
Собинка,4,Владимирская Область,района,19482
Советск,25,Тульская Область,-,41709
Советская Гавань,5,Хабаровский Край,-,27712
Советский,9,Ханты-Мансийский Автономный округ - Югра Автономный округ,района,26434
Сокол,4,Вологодская Область,района,38454
Соколово,2,-,-,-
Солигалич,3,Костромская Область,района,6438
Соликамск,26,Пермский Край,-,97239
Солнечногорск,45,Московская Область,района,52996
Солнцево,1,-,-,-
Соль-Илецк,3,Оренбургская Область,района,28369
Сольвычегодск,1,Архангельская Область,-,2460
Сольцы,1,Новгородская Область,района,10086
Сонково,2,-,-,-
Сорочинск,6,Оренбургская Область,-,29260
Сортавала,8,Карелия Республика,-,19215
Сосновоборск,1,Красноярский Край,-,33090
Сосновское,1,-,-,-
Сосновый Бор,46,Ленинградская Область,-,65901
Сосногорск,5,Коми Республика,-,27809
Сочи,249,Краснодарский Край,-,343285
Спасск,2,Пензенская Область,района,7442
Спасск-Дальний,13,Приморский Край,-,44166
Спасское,1,-,-,-
Среднеуральск,5,Свердловская Область,-,20445
Ставрово,2,-,-,-
Ставрополь,1231,Ставропольский Край,региона,398266
Старая Купавна,8,Московская Область,-,21859
Старая Полтавка,2,-,-,-
Старая Русса,10,Новгородская Область,района,31809
Старобалтачево,1,-,-,-
Стародуб,14,Брянская Область,района,19010
Старое Шайгово,1,-,-,-
Старожилово,1,-,-,-
Староминская,6,-,-,-
Старотитаровская,2,-,-,-
Старощербиновская,2,-,-,-
Староюрьево,1,-,-,-
Старый Крым,1,-,-,-
Старый Оскол,314,Белгородская Область,района,221163
Старь,1,-,-,-
Степное,1,-,-,-
Стерлитамак,178,Башкортостан Республика,района,273432
Стрежевой,11,Томская Область,-,42216
Строитель,34,Белгородская Область,района,23933
Струнино,1,Владимирская Область,-,14372
Ступино,67,Московская Область,района,66942
Суворов,2,Тульская Область,района,18975
Судак,7,Крым Республика,-,14495
Суджа,1,Курская Область,района,6036
Судиславль,1,-,-,-
Судогда,2,Владимирская Область,района,11848
Суздаль,3,Владимирская Область,района,10535
Сузун,1,-,-,-
Суоярви,1,Карелия Республика,района,9763
Сураж,3,Брянская Область,района,11640
Сургут,239,Ханты-Мансийский Автономный округ - Югра Автономный округ,-,306703
Суровикино,7,Волгоградская Область,района,20527
Сухиничи,1,Калужская Область,района,16295
Сухой Лог,9,Свердловская Область,-,34547
Сызрань,118,Самарская Область,-,178773
Сыктывкар,331,Коми Республика,региона,235006
Сысерть,2,Свердловская Область,района,20485
Сычевка,2,Смоленская Область,района,-
Сясьстрой,4,Ленинградская Область,-,13747
Тавда,9,Свердловская Область,-,35415
Таврическое,1,-,-,-
Таганрог,200,Ростовская Область,-,257692
Тазовский,1,-,-,-
Тайга,5,Кемеровская Область,-,25330
Тайшет,16,Иркутская Область,-,35481
Таксимо,2,-,-,-
Талдом,5,Московская Область,района,13819
Талица,1,Свердловская Область,района,16220
Тальменка,1,-,-,-
Тамбов,544,Тамбовская Область,региона,280457
Тара,2,Омская Область,района,27322
Тарасовка,1,-,-,-
Тарасовский,2,-,-,-
Тарко-Сале,9,Ямало-Ненецкий Автономный округ,района,20372
Таруса,3,Калужская Область,-,9656
Татарск,7,Новосибирская Область,-,24217
Тацинская,1,-,-,-
Таштагол,5,Кемеровская Область,района,23114
Тбилисская,2,-,-,-
Тверь,516,Тверская Область,региона,403726
Тейково,6,Ивановская Область,района,34993
Темрюк,11,Краснодарский Край,района,38014
Тербуны,1,-,-,-
Терекли-Мектеб,1,-,-,-
Терней,1,-,-,-
Тетюши,1,Татарстан Республика,района,11596
Тиличики,1,-,-,-
Тимашевск,19,Краснодарский Край,района,-
Тихвин,50,Ленинградская Область,района,58843
Тихорецк,31,Краснодарский Край,района,61825
Тобольск,49,Тюменская Область,-,99698
Тогучин,5,Новосибирская Область,района,21900
Токсово,1,-,-,-
Тольятти,538,Самарская Область,-,719514
Томилино,3,-,-,-
Томск,552,Томская Область,региона,522940
Топки,1,Кемеровская Область,района,28642
Торжок,20,Тверская Область,-,47702
Торковичи,1,-,-,-
Торопец,3,Тверская Область,района,13018
Тосно,11,Ленинградская Область,района,39127
Тотьма,3,Вологодская Область,района,9784
Тоцкое,2,-,-,-
Трехгорный,11,Челябинская Область,-,-
Троицк,68,Москва Город,-,78637
Троицко-Печорск,2,-,-,-
Трубчевск,7,Брянская Область,района,15014
Туапсе,34,Краснодарский Край,района,63233
Туймазы,53,Башкортостан Республика,района,66849
Тула,917,Тульская Область,региона,501129
Тулун,45,Иркутская Область,-,44603
Туринск,4,Свердловская Область,района,17923
Туринская Слобода,1,-,-,-
Турочак,3,-,-,-
Турунтаево,1,-,-,-
Тутаев,5,Ярославская Область,района,41001
Тучково,1,-,-,-
Тында,21,Амурская Область,-,35574
Тюкалинск,2,Омская Область,района,11276
Тюльган,1,-,-,-
Тюмень,966,Тюменская Область,-,581758
Ува,2,-,-,-
Уварово,8,Тамбовская Область,-,26829
Увельский,1,-,-,-
Углегорск,2,Сахалинская Область,района,10382
Углич,27,Ярославская Область,района,34505
Угловское,1,-,-,-
Удомля,16,Тверская Область,района,31048
Ужур,6,Красноярский Край,района,16079
Узловая,17,Тульская Область,района,55282
Узуново,2,-,-,-
Улан-Удэ,441,Бурятия Республика,региона,404357
Ульяновск,764,Ульяновская Область,региона,613793
Умёт,1,-,-,-
Унеча,10,Брянская Область,района,26196
Упорово,2,-,-,-
Урай,21,Ханты-Мансийский Автономный округ - Югра Автономный округ,-,39435
Урдома,1,-,-,-
Уренгой,2,-,-,-
Урень,8,Нижегородская Область,района,12306
Уржум,2,Кировская Область,района,10213
Уруссу,1,-,-,-
Урюпинск,29,Волгоградская Область,-,41594
Усинск,19,Коми Республика,-,41100
Усмань,9,Липецкая Область,района,18752
Усогорск,1,-,-,-
Усолье-Сибирское,62,Иркутская Область,-,83364
Уссурийск,56,Приморский Край,-,157946
Усть-Абакан,1,-,-,-
Усть-Илимск,51,Иркутская Область,-,86591
Усть-Катав,28,Челябинская Область,-,23586
Усть-Кулом,1,-,-,-
Усть-Кут,25,Иркутская Область,-,45061
Усть-Лабинск,11,Краснодарский Край,района,43268
Усть-Нера,2,-,-,-
Усть-Ордынский,2,-,-,-
Усть-Чарышская Пристань,1,-,-,-
Устюжна,3,Вологодская Область,района,9478
Уфа,835,Башкортостан Республика,региона,1062300
Ухта,105,Коми Республика,-,99642
Учалы,32,Башкортостан Республика,района,37771
Уяр,1,Красноярский Край,района,12666
Февральск,1,-,-,-
Феодосия,84,Крым Республика,-,74669
Фирово,2,-,-,-
Фокино,7,Брянская Область,-,23683
Фролово,21,Волгоградская Область,-,39489
Фрязино,48,Московская Область,-,55449
Фурманов,4,Ивановская Область,района,36149
Фёдоровка,1,-,-,-
Фёдоровский,2,-,-,-
Хабаровск,657,Хабаровский Край,региона,577668
Хабары,1,-,-,-
Хадыженск,2,Краснодарский Край,-,21580
Ханты-Мансийск,234,Ханты-Мансийский Автономный округ - Югра Автономный округ,региона,79410
Харовск,3,Вологодская Область,района,10078
Хасавюрт,14,Дагестан Республика,-,133929
Хвалынск,2,Саратовская Область,-,13094
Хвойная,1,-,-,-
Хилок,1,Забайкальский Край,района,11530
Химки,187,Московская Область,-,207125
Холмогоры,5,-,-,-
Холмск,1,Сахалинская Область,района,30936
Хотьково,25,Московская Область,-,21612
Хохольский,1,-,-,-
Целина,1,-,-,-
Целинное,2,-,-,-
Цимлянск,7,Ростовская Область,района,15029
Чагода,1,-,-,-
Чайковский,35,Пермский Край,-,82933
Чапаевск,6,Самарская Область,-,72689
Чаплыгин,3,Липецкая Область,района,12656
Чебаркуль,7,Челябинская Область,-,43405
Чебоксары,293,Чувашская Республика - Чувашия,региона,453645
Чегдомын,3,-,-,-
Чекмагуш,3,-,-,-
Челябинск,1804,Челябинская Область,региона,1130273
Черемхово,17,Иркутская Область,-,52650
Черепаново,2,Новосибирская Область,района,19803
Череповец,213,Вологодская Область,-,312311
Черкесск,117,Карачаево-Черкесская Республика,региона,121439
Черниговка,1,-,-,-
Черноголовка,8,Московская Область,-,20986
Черногорск,6,Хакасия Республика,-,72117
Чернушка,13,Пермский Край,района,33275
Чернышевск,1,-,-,-
Чернышковский,1,-,-,-
Чернь,1,-,-,-
Чернянка,5,-,-,-
Черняховск,12,Калининградская Область,района,40464
Чесма,1,-,-,-
Чехов,99,Московская Область,района,60677
Чистополь,2,Татарстан Республика,района,60703
Чита,607,Забайкальский Край,региона,323964
Чкаловск,1,Нижегородская Область,района,12371
Чкаловская,1,-,-,-
Чугуевка,1,-,-,-
Чудово,4,Новгородская Область,района,15401
Чулым,1,Новосибирская Область,района,11568
Чумикан,1,-,-,-
Чунский,6,-,-,-
Чусовой,21,Пермский Край,-,46740
Чухлома,1,Костромская Область,района,5209
Чёрмоз,1,-,-,-
Шадринск,52,Курганская Область,-,77744
Шаркан,1,-,-,-
Шарыпово,27,Красноярский Край,-,38570
Шарья,12,Костромская Область,района,23668
Шатура,22,Московская Область,района,32836
Шаховская,21,Московская Область,района,-
Шахты,77,Ростовская Область,-,240152
Шахунья,1,Нижегородская Область,-,20926
Шацк,3,Рязанская Область,района,6562
Шебекино,29,Белгородская Область,района,44277
Шексна,6,-,-,-
Шелехов,6,Иркутская Область,-,47960
Шелопугино,1,-,-,-
Шенкурск,1,Архангельская Область,района,5702
Шербакуль,1,-,-,-
Шерегеш,2,-,-,-
Шилка,5,Забайкальский Край,района,13947
Шилово,1,-,-,-
Шимановск,3,Амурская Область,-,19815
Шиханы,3,Саратовская Область,-,6067
Шлиссельбург,5,Ленинградская Область,-,13305
Шумерля,12,Чувашская Республика - Чувашия,-,31724
Шумиха,4,Курганская Область,района,17821
Шумячи,4,-,-,-
Шушенское,2,-,-,-
Шуя,19,Ивановская Область,района,58528
Щекино,5,Тульская Область,района,-
Щелкино,2,Крым Республика,-,-
Щелково,111,Московская Область,района,-
Щербинка,10,Москва Город,-,32836
Щигры,1,Курская Область,района,17043
Щучье,1,Курганская Область,района,10971
Электрогорск,13,Московская Область,-,22120
Электросталь,88,Московская Область,-,155324
Электроугли,7,Московская Область,-,20120
Элиста,122,Калмыкия Республика,региона,103728
Энгельс,90,Саратовская Область,-,202401
Югорск,6,Ханты-Мансийский Автономный округ - Югра Автономный округ,-,34066
Южно-Курильск,1,-,-,-
Южно-Сахалинск,146,Сахалинская Область,региона,181727
Южноуральск,16,Челябинская Область,-,37890
Юрга,44,Кемеровская Область,-,81536
Юргамыш,1,-,-,-
Юровск,1,-,-,-
Юрьевец,2,Ивановская Область,района,10205
Юрюзань,2,Челябинская Область,-,12568
Ядрин,3,Чувашская Республика - Чувашия,района,9614
Яковлевка,1,-,-,-
Якутск,83,Саха /Якутия/ Республика,региона,269486
Ялта,60,Крым Республика,-,81654
Ялуторовск,20,Тюменская Область,района,36494
Янаул,2,Башкортостан Республика,района,26988
Яр-Сале,1,-,-,-
Яранск,1,Кировская Область,района,17252
Яровое,6,Алтайский Край,-,18605
Ярославль,627,Ярославская Область,региона,591486
Ярцево,26,Смоленская Область,района,47853
Ясногорск,1,Тульская Область,района,16804
Ясный,1,Оренбургская Область,района,17365
Яхрома,3,Московская Область,-,13248
Яшкино,2,-,-,-
им. Бабушкина,1,-,-,-
